id	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000430385_1	GCF_000430385.1	PRJNA224116	SAMN02179883		na	1338035	197	Campylobacter jejuni 32488	strain=32488	NYCB-10-03-5511-C	latest	Complete Genome	Major	Full	2013/07/16	ASM43038v1	University of California at Davis	GCA_000430385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/430/385/GCF_000430385.1_ASM43038v1		
GCF_000466065_2	GCF_000466065.2	PRJNA224116	SAMN02603725		na	1380768	197	Campylobacter jejuni subsp. jejuni 00-2538	strain=00-2538		latest	Complete Genome	Major	Full	2014/09/26	ASM46606v2	Public Health Agency of Canada	GCA_000466065.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/065/GCF_000466065.2_ASM46606v2		
GCF_000466075_2	GCF_000466075.2	PRJNA224116	SAMN02603726		na	1383068	197	Campylobacter jejuni subsp. jejuni 00-2544	strain=00-2544		latest	Complete Genome	Major	Full	2014/09/26	ASM46607v2	Public Health Agency of Canada	GCA_000466075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/075/GCF_000466075.2_ASM46607v2		
GCF_000466105_2	GCF_000466105.2	PRJNA224116	SAMN02603724		na	1380767	197	Campylobacter jejuni subsp. jejuni 00-2426	strain=00-2426		latest	Complete Genome	Major	Full	2014/09/26	ASM46610v2	Public Health Agency of Canada	GCA_000466105.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/466/105/GCF_000466105.2_ASM46610v2		
GCF_000468915_2	GCF_000468915.2	PRJNA224116	SAMN02603723		na	1357994	197	Campylobacter jejuni subsp. jejuni 00-2425	strain=00-2425		latest	Complete Genome	Major	Full	2014/09/26	ASM46891v2	Public Health Agency of Canada	GCA_000468915.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/915/GCF_000468915.2_ASM46891v2		
GCF_000493495_1	GCF_000493495.1	PRJNA224116	SAMEA2272246		na	1347340	197	Campylobacter jejuni 4031	strain=4031		latest	Complete Genome	Major	Full	2013/10/02	TS	UH	GCA_000493495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/495/GCF_000493495.1_TS		
GCF_000737085_1	GCF_000737085.1	PRJNA224116	SAMN02864993		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=MTVDSCj20		latest	Complete Genome	Major	Full	2014/08/01	ASM73708v1	University of Michigan	GCA_000737085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/085/GCF_000737085.1_ASM73708v1		
GCF_000772225_1	GCF_000772225.1	PRJNA224116	SAMN02376799		na	1408176	197	Campylobacter jejuni subsp. jejuni F38011	strain=F38011		latest	Complete Genome	Major	Full	2014/11/05	ASM77222v1	Washington State University	GCA_000772225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/225/GCF_000772225.1_ASM77222v1		
GCF_000830775_1	GCF_000830775.1	PRJNA224116	SAMN02316405		na	1385720	197	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	strain=NCTC 11168-K12E5		latest	Complete Genome	Major	Full	2014/02/28	ASM83077v1	Agriculture & Agri-Food Canada	GCA_000830775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/775/GCF_000830775.1_ASM83077v1		
GCF_000830805_1	GCF_000830805.1	PRJNA224116	SAMN02316408		na	1385723	197	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	strain=NCTC 11168-Kf1		latest	Complete Genome	Major	Full	2014/02/28	ASM83080v1	Agriculture & Agri-Food Canada	GCA_000830805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/805/GCF_000830805.1_ASM83080v1		
GCF_000830825_1	GCF_000830825.1	PRJNA224116	SAMN02316406		na	1385721	197	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	strain=NCTC 11168-mcK12E5		latest	Complete Genome	Major	Full	2014/02/28	ASM83082v1	Agriculture & Agri-Food Canada	GCA_000830825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/825/GCF_000830825.1_ASM83082v1		
GCF_000830845_1	GCF_000830845.1	PRJNA224116	SAMN02316407		na	1385722	197	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	strain=NCTC 11168-mfK12E5		latest	Complete Genome	Major	Full	2014/02/28	ASM83084v1	Agriculture & Agri-Food Canada	GCA_000830845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/845/GCF_000830845.1_ASM83084v1		
GCF_000830865_1	GCF_000830865.1	PRJNA224116	SAMN02316409		na	1385724	197	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	strain=NCTC 11168-rNRC		latest	Complete Genome	Major	Full	2014/02/28	ASM83086v1	Agriculture & Agri-Food Canada	GCA_000830865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/865/GCF_000830865.1_ASM83086v1		
GCF_000835285_1	GCF_000835285.1	PRJNA224116	SAMN03216760		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=00-1597		latest	Complete Genome	Major	Full	2015/02/10	ASM83528v1	Public Health Agency of Canada	GCA_000835285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/285/GCF_000835285.1_ASM83528v1		
GCF_000835305_1	GCF_000835305.1	PRJNA224116	SAMN03216761		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=00-6200		latest	Complete Genome	Major	Full	2015/02/10	ASM83530v1	Public Health Agency of Canada	GCA_000835305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/305/GCF_000835305.1_ASM83530v1		
GCF_000835345_1	GCF_000835345.1	PRJNA224116	SAMN03216762		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=01-1512		latest	Complete Genome	Major	Full	2015/02/10	ASM83534v1	Public Health Agency of Canada	GCA_000835345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/345/GCF_000835345.1_ASM83534v1		
GCF_000835365_1	GCF_000835365.1	PRJNA224116	SAMN03216759		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=00-0949		latest	Complete Genome	Major	Full	2015/02/10	ASM83536v1	Public Health Agency of Canada	GCA_000835365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/365/GCF_000835365.1_ASM83536v1		
GCF_000934305_1	GCF_000934305.1	PRJNA224116	SAMN03344735		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=35925		latest	Complete Genome	Major	Full	2015/02/25	ASM93430v1	University of Nottingham	GCA_000934305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/305/GCF_000934305.1_ASM93430v1		
GCF_001299565_1	GCF_001299565.1	PRJNA224116	SAMN03652757		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=RM3197		latest	Complete Genome	Major	Full	2015/09/25	ASM129956v1	USDA ARS	GCA_001299565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/299/565/GCF_001299565.1_ASM129956v1		
GCF_001299595_1	GCF_001299595.1	PRJNA224116	SAMN03652743		na	32022	197	Campylobacter jejuni subsp. jejuni	strain=RM3196		latest	Complete Genome	Major	Full	2015/09/25	ASM129959v1	USDA ARS	GCA_001299595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/299/595/GCF_001299595.1_ASM129959v1		
GCF_001314285_1	GCF_001314285.1	PRJNA224116	SAMN04054191		na	197	197	Campylobacter jejuni	strain=RM1285		latest	Complete Genome	Major	Full	2015/10/14	ASM131428v1	USDA-Agricultural Research Service-Eastern Regional Research Center	GCA_001314285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/314/285/GCF_001314285.1_ASM131428v1		
GCF_001412295_1	GCF_001412295.1	PRJNA224116	SAMN03838469		na	197	197	Campylobacter jejuni	strain=CJM1cam		latest	Complete Genome	Major	Full	2015/10/26	ASM141229v1	University of Cambridge	GCA_001412295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/412/295/GCF_001412295.1_ASM141229v1		
GCF_001457695_1	GCF_001457695.1	PRJNA224116	SAMEA2479571		na	197	197	Campylobacter jejuni	strain=NCTC11351		latest	Complete Genome	Major	Full	2015/03/22	NCTC11351	SC	GCA_001457695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/695/GCF_001457695.1_NCTC11351		assembly from type material
GCF_001506185_1	GCF_001506185.1	PRJNA224116	SAMN03246034		na	197	197	Campylobacter jejuni	strain=CJ677CC519		latest	Complete Genome	Major	Full	2016/01/07	ASM150618v1	University of Helsinki	GCA_001506185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/185/GCF_001506185.1_ASM150618v1		
GCF_001506205_1	GCF_001506205.1	PRJNA224116	SAMN03246003		na	197	197	Campylobacter jejuni	strain=CJ677CC002		latest	Complete Genome	Major	Full	2016/01/07	ASM150620v1	University of Helsinki	GCA_001506205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/205/GCF_001506205.1_ASM150620v1		
GCF_001506225_1	GCF_001506225.1	PRJNA224116	SAMN03246049		na	197	197	Campylobacter jejuni	strain=CJ677CC534		latest	Complete Genome	Major	Full	2016/01/07	ASM150622v1	University of Helsinki	GCA_001506225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/225/GCF_001506225.1_ASM150622v1		
GCF_001506245_1	GCF_001506245.1	PRJNA224116	SAMN03246051		na	197	197	Campylobacter jejuni	strain=CJ677CC536		latest	Complete Genome	Major	Full	2016/01/07	ASM150624v1	University of Helsinki	GCA_001506245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/245/GCF_001506245.1_ASM150624v1		
GCF_001506265_1	GCF_001506265.1	PRJNA224116	SAMN03246026		na	197	197	Campylobacter jejuni	strain=CJ677CC073		latest	Complete Genome	Major	Full	2016/01/07	ASM150626v1	University of Helsinki	GCA_001506265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/265/GCF_001506265.1_ASM150626v1		
GCF_001506285_1	GCF_001506285.1	PRJNA224116	SAMN03246036		na	197	197	Campylobacter jejuni	strain=CJ677CC521		latest	Complete Genome	Major	Full	2016/01/07	ASM150628v1	University of Helsinki	GCA_001506285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/285/GCF_001506285.1_ASM150628v1		
GCF_001506305_1	GCF_001506305.1	PRJNA224116	SAMN03246041		na	197	197	Campylobacter jejuni	strain=CJ677CC526		latest	Complete Genome	Major	Full	2016/01/07	ASM150630v1	University of Helsinki	GCA_001506305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/305/GCF_001506305.1_ASM150630v1		
GCF_001506345_1	GCF_001506345.1	PRJNA224116	SAMN03246015		na	197	197	Campylobacter jejuni	strain=CJ677CC036		latest	Complete Genome	Major	Full	2016/01/07	ASM150634v1	University of Helsinki	GCA_001506345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/345/GCF_001506345.1_ASM150634v1		
GCF_001506365_1	GCF_001506365.1	PRJNA224116	SAMN03246039		na	197	197	Campylobacter jejuni	strain=CJ677CC524		latest	Complete Genome	Major	Full	2016/01/07	ASM150636v1	University of Helsinki	GCA_001506365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/365/GCF_001506365.1_ASM150636v1		
GCF_001506385_1	GCF_001506385.1	PRJNA224116	SAMN03246009		na	197	197	Campylobacter jejuni	strain=CJ677CC016		latest	Complete Genome	Major	Full	2016/01/07	ASM150638v1	University of Helsinki	GCA_001506385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/385/GCF_001506385.1_ASM150638v1		
GCF_001506405_1	GCF_001506405.1	PRJNA224116	SAMN03246018		na	197	197	Campylobacter jejuni	strain=CJ677CC041		latest	Complete Genome	Major	Full	2016/01/07	ASM150640v1	University of Helsinki	GCA_001506405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/405/GCF_001506405.1_ASM150640v1		
GCF_001506425_1	GCF_001506425.1	PRJNA224116	SAMN03246050		na	197	197	Campylobacter jejuni	strain=CJ677CC535		latest	Complete Genome	Major	Full	2016/01/07	ASM150642v1	University of Helsinki	GCA_001506425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/425/GCF_001506425.1_ASM150642v1		
GCF_001506445_1	GCF_001506445.1	PRJNA224116	SAMN03246030		na	197	197	Campylobacter jejuni	strain=CJ677CC092		latest	Complete Genome	Major	Full	2016/01/07	ASM150644v1	University of Helsinki	GCA_001506445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/445/GCF_001506445.1_ASM150644v1		
GCF_001506465_1	GCF_001506465.1	PRJNA224116	SAMN03246045		na	197	197	Campylobacter jejuni	strain=CJ677CC530		latest	Complete Genome	Major	Full	2016/01/07	ASM150646v1	University of Helsinki	GCA_001506465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/465/GCF_001506465.1_ASM150646v1		
GCF_001506485_1	GCF_001506485.1	PRJNA224116	SAMN03246047		na	197	197	Campylobacter jejuni	strain=CJ677CC532		latest	Complete Genome	Major	Full	2016/01/07	ASM150648v1	University of Helsinki	GCA_001506485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/485/GCF_001506485.1_ASM150648v1		
GCF_001506505_1	GCF_001506505.1	PRJNA224116	SAMN03246044		na	197	197	Campylobacter jejuni	strain=CJ677CC529		latest	Complete Genome	Major	Full	2016/01/07	ASM150650v1	University of Helsinki	GCA_001506505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/505/GCF_001506505.1_ASM150650v1		
GCF_001506525_1	GCF_001506525.1	PRJNA224116	SAMN03246046		na	197	197	Campylobacter jejuni	strain=CJ677CC531		latest	Complete Genome	Major	Full	2016/01/07	ASM150652v1	University of Helsinki	GCA_001506525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/525/GCF_001506525.1_ASM150652v1		
GCF_001506545_1	GCF_001506545.1	PRJNA224116	SAMN03246024		na	197	197	Campylobacter jejuni	strain=CJ677CC062		latest	Complete Genome	Major	Full	2016/01/07	ASM150654v1	University of Helsinki	GCA_001506545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/545/GCF_001506545.1_ASM150654v1		
GCF_001506565_1	GCF_001506565.1	PRJNA224116	SAMN03246022		na	197	197	Campylobacter jejuni	strain=CJ677CC059		latest	Complete Genome	Major	Full	2016/01/07	ASM150656v1	University of Helsinki	GCA_001506565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/565/GCF_001506565.1_ASM150656v1		
GCF_001506585_1	GCF_001506585.1	PRJNA224116	SAMN03246012		na	197	197	Campylobacter jejuni	strain=CJ677CC032		latest	Complete Genome	Major	Full	2016/01/07	ASM150658v1	University of Helsinki	GCA_001506585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/585/GCF_001506585.1_ASM150658v1		
GCF_001506605_1	GCF_001506605.1	PRJNA224116	SAMN03246013		na	197	197	Campylobacter jejuni	strain=CJ677CC033		latest	Complete Genome	Major	Full	2016/01/07	ASM150660v1	University of Helsinki	GCA_001506605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/605/GCF_001506605.1_ASM150660v1		
GCF_001506625_1	GCF_001506625.1	PRJNA224116	SAMN03246052		na	197	197	Campylobacter jejuni	strain=CJ677CC537		latest	Complete Genome	Major	Full	2016/01/07	ASM150662v1	University of Helsinki	GCA_001506625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/625/GCF_001506625.1_ASM150662v1		
GCF_001506645_1	GCF_001506645.1	PRJNA224116	SAMN03246057		na	197	197	Campylobacter jejuni	strain=CJ677CC542		latest	Complete Genome	Major	Full	2016/01/07	ASM150664v1	University of Helsinki	GCA_001506645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/645/GCF_001506645.1_ASM150664v1		
GCF_001506665_1	GCF_001506665.1	PRJNA224116	SAMN03246043		na	197	197	Campylobacter jejuni	strain=CJ677CC528		latest	Complete Genome	Major	Full	2016/01/07	ASM150666v1	University of Helsinki	GCA_001506665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/665/GCF_001506665.1_ASM150666v1		
GCF_001506685_1	GCF_001506685.1	PRJNA224116	SAMN03246053		na	197	197	Campylobacter jejuni	strain=CJ677CC538		latest	Complete Genome	Major	Full	2016/01/07	ASM150668v1	University of Helsinki	GCA_001506685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/685/GCF_001506685.1_ASM150668v1		
GCF_001506705_1	GCF_001506705.1	PRJNA224116	SAMN03246035		na	197	197	Campylobacter jejuni	strain=CJ677CC520		latest	Complete Genome	Major	Full	2016/01/07	ASM150670v1	University of Helsinki	GCA_001506705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/705/GCF_001506705.1_ASM150670v1		
GCF_001506725_1	GCF_001506725.1	PRJNA224116	SAMN03246008		na	197	197	Campylobacter jejuni	strain=CJ677CC014		latest	Complete Genome	Major	Full	2016/01/07	ASM150672v1	University of Helsinki	GCA_001506725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/725/GCF_001506725.1_ASM150672v1		
GCF_001506745_1	GCF_001506745.1	PRJNA224116	SAMN03246016		na	197	197	Campylobacter jejuni	strain=CJ677CC039		latest	Complete Genome	Major	Full	2016/01/07	ASM150674v1	University of Helsinki	GCA_001506745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/745/GCF_001506745.1_ASM150674v1		
GCF_001506765_1	GCF_001506765.1	PRJNA224116	SAMN03246028		na	197	197	Campylobacter jejuni	strain=CJ677CC085		latest	Complete Genome	Major	Full	2016/01/07	ASM150676v1	University of Helsinki	GCA_001506765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/765/GCF_001506765.1_ASM150676v1		
GCF_001506785_1	GCF_001506785.1	PRJNA224116	SAMN03246020		na	197	197	Campylobacter jejuni	strain=CJ677CC052		latest	Complete Genome	Major	Full	2016/01/07	ASM150678v1	University of Helsinki	GCA_001506785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/785/GCF_001506785.1_ASM150678v1		
GCF_001506805_1	GCF_001506805.1	PRJNA224116	SAMN03246042		na	197	197	Campylobacter jejuni	strain=CJ677CC527		latest	Complete Genome	Major	Full	2016/01/07	ASM150680v1	University of Helsinki	GCA_001506805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/805/GCF_001506805.1_ASM150680v1		
GCF_001506825_1	GCF_001506825.1	PRJNA224116	SAMN03246027		na	197	197	Campylobacter jejuni	strain=CJ677CC078		latest	Complete Genome	Major	Full	2016/01/07	ASM150682v1	University of Helsinki	GCA_001506825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/825/GCF_001506825.1_ASM150682v1		
GCF_001506845_1	GCF_001506845.1	PRJNA224116	SAMN03246038		na	197	197	Campylobacter jejuni	strain=CJ677CC523		latest	Complete Genome	Major	Full	2016/01/07	ASM150684v1	University of Helsinki	GCA_001506845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/845/GCF_001506845.1_ASM150684v1		
GCF_001506865_1	GCF_001506865.1	PRJNA224116	SAMN03246055		na	197	197	Campylobacter jejuni	strain=CJ677CC540		latest	Complete Genome	Major	Full	2016/01/07	ASM150686v1	University of Helsinki	GCA_001506865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/865/GCF_001506865.1_ASM150686v1		
GCF_001506885_1	GCF_001506885.1	PRJNA224116	SAMN03246017		na	197	197	Campylobacter jejuni	strain=CJ677CC040		latest	Complete Genome	Major	Full	2016/01/07	ASM150688v1	University of Helsinki	GCA_001506885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/885/GCF_001506885.1_ASM150688v1		
GCF_001506905_1	GCF_001506905.1	PRJNA224116	SAMN03246023		na	197	197	Campylobacter jejuni	strain=CJ677CC061		latest	Complete Genome	Major	Full	2016/01/07	ASM150690v1	University of Helsinki	GCA_001506905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/905/GCF_001506905.1_ASM150690v1		
GCF_001506925_1	GCF_001506925.1	PRJNA224116	SAMN03246054		na	197	197	Campylobacter jejuni	strain=CJ677CC539		latest	Complete Genome	Major	Full	2016/01/07	ASM150692v1	University of Helsinki	GCA_001506925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/925/GCF_001506925.1_ASM150692v1		
GCF_001506945_1	GCF_001506945.1	PRJNA224116	SAMN03246048		na	197	197	Campylobacter jejuni	strain=CJ677CC533		latest	Complete Genome	Major	Full	2016/01/07	ASM150694v1	University of Helsinki	GCA_001506945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/945/GCF_001506945.1_ASM150694v1		
GCF_001506965_1	GCF_001506965.1	PRJNA224116	SAMN03246019		na	197	197	Campylobacter jejuni	strain=CJ677CC047		latest	Complete Genome	Major	Full	2016/01/07	ASM150696v1	University of Helsinki	GCA_001506965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/965/GCF_001506965.1_ASM150696v1		
GCF_001506985_1	GCF_001506985.1	PRJNA224116	SAMN03246021		na	197	197	Campylobacter jejuni	strain=CJ677CC058		latest	Complete Genome	Major	Full	2016/01/07	ASM150698v1	University of Helsinki	GCA_001506985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/506/985/GCF_001506985.1_ASM150698v1		
GCF_001507005_1	GCF_001507005.1	PRJNA224116	SAMN03246007		na	197	197	Campylobacter jejuni	strain=CJ677CC013		latest	Complete Genome	Major	Full	2016/01/07	ASM150700v1	University of Helsinki	GCA_001507005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/507/005/GCF_001507005.1_ASM150700v1		
GCF_001507025_1	GCF_001507025.1	PRJNA224116	SAMN03246033		na	197	197	Campylobacter jejuni	strain=CJ677CC100		latest	Complete Genome	Major	Full	2016/01/07	ASM150702v1	University of Helsinki	GCA_001507025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/507/025/GCF_001507025.1_ASM150702v1		
GCF_001507045_1	GCF_001507045.1	PRJNA224116	SAMN03246037		na	197	197	Campylobacter jejuni	strain=CJ677CC522		latest	Complete Genome	Major	Full	2016/01/07	ASM150704v1	University of Helsinki	GCA_001507045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/507/045/GCF_001507045.1_ASM150704v1		
